,,,,,,,,,,,,,,,,,,,,,,269,# PILIHAN 1,Pilihan 1,,# PILIHAN 2,Pilihan 2,
PROVINSI,KOTA/KABUPATEN,PROVINSI GABUNG,UNIVERSITAS,PROGRAM STUDI,JENJANG,[hidden] concat,"PEMINAT 2024
(SNBP)","DAYA TAMPUNG 2025
(SNBP)",%PENERIMAAN SNBP 2025,"PEMINAT 2024
(SNBT)","DAYA TAMPUNG 2025
(SNBT)",%PENERIMAAN SNBT 2025,Perkiraan Minimum Skor UTBK,# PEMINAT SISWA RG SNBT 2026,RANK QS 2025,Rank %Penerimaan SNBT 2025,Rank Perkiraan Minimum Skor UTBK,Rank Peminat RG,Rank QS,Composite Score,Composite Rank after Score,TOP NASIONAL?,,% AMAN,% SIAGA 1,,% AMAN,% SIAGA 1
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UNIVERSITAS INDONESIA,1720,60,3.49%,3275,90,2.75%,761,213,206,245,1,6,1,63,4,YES,,,,,,
Jawa Barat,Kota Depok,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,KEDOKTERAN,S1,S1 - KEDOKTERAN UNIVERSITAS GADJAH MADA,2159,53,2.45%,3889,53,1.36%,759,317,239,55,2,2,80,35,2,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - KOMPUTASI (STEI-K),S1,S1 - SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - KOMPUTASI (STEI-K) INSTITUT TEKNOLOGI BANDUNG,2402,90,3.75%,3454,90,2.61%,758,190,256,223,3,10,173,102,13,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,ILMU KOMPUTER,S1,S1 - ILMU KOMPUTER UNIVERSITAS INDONESIA,1133,50,4.41%,1900,75,3.95%,749,57,206,444,4,71,1,130,25,YES,,,,,,
Jawa Barat,Kab. Karawang,Jawa Timur,UNIVERSITAS AIRLANGGA,KEDOKTERAN,S1,S1 - KEDOKTERAN UNIVERSITAS AIRLANGGA,1544,60,3.89%,3102,90,2.90%,745,270,308,269,5,3,197,119,22,YES,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,ILMU AKTUARIA,S1,S1 - ILMU AKTUARIA UNIVERSITAS GADJAH MADA,282,17,6.03%,417,17,4.08%,742,19,239,475,6,242,80,201,59,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,AKTUARIA,S1,S1 - AKTUARIA UNIVERSITAS INDONESIA,363,17,4.68%,519,26,5.01%,739,29,206,650,7,158,1,204,61,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - MATEMATIKA (FMIPA-M),S1,S1 - FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - MATEMATIKA (FMIPA-M) INSTITUT TEKNOLOGI BANDUNG,516,77,14.92%,546,66,12.09%,738,25,256,"1,631",8,188,173,500,342,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS GADJAH MADA,325,30,9.23%,755,30,3.97%,734,30,239,450,9,150,80,172,44,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,Jawa Timur,UNIVERSITAS BRAWIJAYA,ILMU AKTUARIA,S1,S1 - ILMU AKTUARIA UNIVERSITAS BRAWIJAYA,321,20,6.23%,465,30,6.45%,734,6,801,858,9,582,521,493,335,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,TEKNIK KIMIA,S1,S1 - TEKNIK KIMIA UNIVERSITAS INDONESIA,414,34,8.21%,664,51,7.68%,732,30,206,"1,068",11,150,1,308,149,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,SISTEM INFORMASI,S1,S1 - SISTEM INFORMASI UNIVERSITAS INDONESIA,926,50,5.40%,1954,75,3.84%,729,34,206,420,12,128,1,140,29,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,MATEMATIKA,S1,S1 - MATEMATIKA UNIVERSITAS GADJAH MADA,201,20,9.95%,336,20,5.95%,728,7,239,795,13,517,80,351,185,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,AKUNTANSI,S1,S1 - AKUNTANSI UNIVERSITAS INDONESIA,1368,70,5.12%,2554,105,4.11%,725,113,206,484,14,22,1,130,26,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - REKAYASA (STEI-R),S1,S1 - SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - REKAYASA (STEI-R) INSTITUT TEKNOLOGI BANDUNG,894,94,10.51%,1267,94,7.42%,725,178,256,"1,023",14,11,173,305,146,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,AKUNTANSI,S1,S1 - AKUNTANSI UNIVERSITAS GADJAH MADA,1009,45,4.46%,2325,45,1.94%,723,75,239,118,16,50,80,66,5,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS GADJAH MADA,306,20,6.54%,544,20,3.68%,721,14,239,389,17,312,80,200,58,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,ILMU KOMPUTER,S1,S1 - ILMU KOMPUTER UNIVERSITAS GADJAH MADA,622,27,4.34%,1219,27,2.21%,720,34,239,165,18,128,80,98,12,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK KIMIA,S1,S1 - TEKNIK KIMIA UNIVERSITAS GADJAH MADA,442,42,9.50%,800,42,5.25%,720,46,239,684,18,83,80,216,69,YES,,,,,,
Jawa Barat,Kota Tasikmalaya,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,KEDOKTERAN,S1,S1 - KEDOKTERAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER,294,10,3.40%,522,15,2.87%,720,9,585,263,18,419,325,256,100,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNOLOGI INFORMASI,S1,S1 - TEKNOLOGI INFORMASI UNIVERSITAS GADJAH MADA,710,24,3.38%,1627,24,1.48%,719,37,239,64,21,114,80,70,9,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS INDONESIA,298,17,5.70%,520,26,5.00%,719,15,206,646,21,294,1,241,88,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNOLOGI INDUSTRI - KAMPUS CIREBON (FTI-C),S1,S1 - FAKULTAS TEKNOLOGI INDUSTRI - KAMPUS CIREBON (FTI-C) INSTITUT TEKNOLOGI BANDUNG,415,28,6.75%,518,27,5.21%,719,31,256,676,21,144,173,254,97,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,ILMU HUBUNGAN INTERNASIONAL,S1,S1 - ILMU HUBUNGAN INTERNASIONAL UNIVERSITAS INDONESIA,675,12,1.78%,1255,18,1.43%,718,96,206,61,24,33,1,30,1,YES,,,,,,
Jawa Barat,Kab. Bogor,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,ILMU HUBUNGAN INTERNASIONAL,S1,S1 - ILMU HUBUNGAN INTERNASIONAL UNIVERSITAS GADJAH MADA,745,24,3.22%,1482,24,1.62%,717,50,239,85,25,78,80,67,7,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,STATISTIKA DAN SAINS DATA,S1,S1 - STATISTIKA DAN SAINS DATA INSTITUT PERTANIAN BOGOR,792,48,6.06%,828,36,4.35%,717,30,426,526,25,150,260,240,85,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS INDONESIA,428,34,7.94%,877,51,5.82%,716,26,206,772,27,176,1,244,91,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,AKTUARIA,S1,S1 - AKTUARIA INSTITUT PERTANIAN BOGOR,499,32,6.41%,544,24,4.41%,715,21,426,541,28,217,260,262,105,YES,,,,,,
